"Aberarder, Inverness-Shire, Scotland",43.05278,-82.09389
"Aberdeenshire, Scotland",57.16667,-2.66667
"Abson, Gloucestershire, England",51.47201,-2.42655
"Affpuddle, Dorset, England",50.73473,-2.27901
"Albion, Peel, Ontario, Canada",41.305,19.49671
"Aller, Somerset, England",52.94632,9.18439
"Alzey, Alzey-Worms, Rhineland-Palatinate, Germany",49.74657,8.11513
"Amersfoort, Utrecht, Netherlands",6.97184,-58.42602
"Amsterdam, Noord-Holland, Netherlands",51.74998,-102.46765
"Ancrum, Roxburghshire, Scotland",-33.25245,148.44744
"Antigonish, Antigonish, Nova Scotia, Canada",45.61685,-61.99858
"Ardnamurchan, Argyllshire, Scotland",-36.427,142.52279
"Argenteuil, Quebec, Canada",45.68339,-74.41594
"Argyll, Strathclyde, Scotland, United Kingdom",-30.98924,151.90009
"Argyllshire, Scotland",56.25,-5.25
"Argyllshire, Strathclyde, Scotland, United Kingdom",56.25,-5.25
"Ashby Magna, Leicestershire, England",52.51074,-1.17294
"Ashby Parva, Leicestershire, England",52.49079,-1.22468
"Ashmore, Dorset, England",-38.25,142.5
"Aston Clinton, Buckinghamshire, England",51.8002,-0.7254
"Auchterarder, Perthshire, Scotland",56.29612,-3.70692
Austria,37.9669,23.72344
"Axbridge, Somerset, England",51.28466,-2.82078
"Bach, Aichach-Friedberg, Bayern, Allemagne",47.63333,13.73333
"Bad Kreuznach, Bad Kreuznach, Rhineland-Palatinate, Germany",49.8414,7.86713
"Bad Marienberg, Westerwaldkreis, Rheinland-Pfalz, Germany",50.64947,7.94958
"Badby, Northamptonshire, England",52.22922,-1.18321
"Baden-Württemberg, Germany",48.5,9
"Badenoch, Inverness, Scotland, United Kingdom",43.47373,-80.08256
"Badminton, Gloucestershire, England, United Kingdom",51.54267,-2.28488
"Bagpath, Gloucestershire, England",51.72825,-2.21551
"Bakewell, Derbyshire, England",-12.49684,130.99344
"Balfour, Fifeshire, Scotland, United Kingdom",-41.26667,144.91667
"Banff, Banffshire, Scotland",-36.27148,139.72421
"Banffshire, Grampian, Scotland, United Kingdom",57.5,-3.08333
"Banningham, Norfolk, England",52.82007,1.29107
"Barony, Lanarkshire, Scotland",45.97041,-67.18731
"Barrie, Ontario, Canada",44.40011,-79.66634
"Barrie, Simcoe, Ontario, Canada",44.40011,-79.66634
Barsby,52.69549,-0.96801
"Battleford, Saskatchewan, Canada",52.73486,-108.3091
"Beaminster, Dorset, England",50.809,-2.7391
"Beauly, Balnagowan, Ross Cromarty, Scotland",-31.32433,115.8715
"Beauly, Inverness Shire, Scotland",-31.32433,115.8715
"Beauly, Inverness-Shire, Scotland",-31.32433,115.8715
"Beauly, Inverness-Shire, Scotland, United Kingdom",-31.32433,115.8715
"Beccles, Suffolk, England",52.45936,1.56465
"Bedford, Bedfordshire, England",-23.64021,146.6263
"Bedfordshire, Bedfordshire, England, United Kingdom",52,-0.5
"Bedwellty, Monmouthshire, Wales",51.69623,-3.20692
"Beekman, Dutchess, New York, United States",32.92374,-91.88429
"Beeley, Derbyshire, England",53.20348,-1.60449
"Bensalem, Bucks, Pennsylvania, United States",40.10455,-74.95128
"Bergh Apton, Norfolk, England",52.5545,1.41456
"Berkhamsted, Hertfordshire, England",51.7604,-0.56528
"Berks, British Colonial America, Pennsylvania, United States",7.39733,-58.5705
"Berks, United Sta, Pennsylvania, United States",7.39733,-58.5705
"Berkshire, England",51.5,-1.25
"Bermondsey, Surrey, England, United Kingdom",43.71501,-79.31223
